"report.date","worksite","location","potential.exposure.dates","start","end","standard.report.date"
"10-21","Meyer Hall","Davis campus","10/18/2021",2021-10-18,2021-10-18,2021-10-21
"10-21","Olson Hall","Davis campus","10/18/2021
 - 10/20/2021",2021-10-18,2021-10-20,2021-10-21
"10-21","Earth and Physical Sciences","Davis campus","10/18/2021",2021-10-18,2021-10-18,2021-10-21
"10-21","Olson Hall","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-21
"10-22","Social Sciences & Humanities","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-22
"10-22","Segundo Dining Commons","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-22
"10-25","Olson Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-25
"10-25","Olson Hall","Davis campus","10/18/2021",2021-10-18,2021-10-18,2021-10-25
"10-25","Social Sciences & Humanities","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-25
"10-25","Bainer Hall","Davis campus","10/23/2021",2021-10-23,2021-10-23,2021-10-25
"10-25","Wellman Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-25
"10-25","Olson Hall","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-25
"10-25","Giedt Hall","Davis campus","10/19/2021",2021-10-19,2021-10-19,2021-10-25
"10-25","The Grove (Surge III) Lecture Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-25
"10-25","Hart Hall","Davis campus","10/18/2021
 - 10/20/2021",2021-10-18,2021-10-20,2021-10-25
"10-25","Social Sciences & Humanities","Davis campus","10/18/2021",2021-10-18,2021-10-18,2021-10-25
"10-26","255 Cousteau Place","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-26","Coffee House","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-26
"10-26","Sciences Lecture Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-26
"10-26","Cruess Hall","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-26","Wellman Hall","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-26","The Grove (Surge III)","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-26
"10-26","Walker Hall","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-26","Social Sciences & Humanities Lecture Hall","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-26
"10-26","Sciences Lab Building","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-26","Academic Surge Building","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-26
"10-26","Sciences Lecture Hall","Davis campus","10/20/2021",2021-10-20,2021-10-20,2021-10-26
"10-26","Social Sciences & Humanities Lecture Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-26
"10-26","Robbins Hall","Davis campus","10/21/2021",2021-10-21,2021-10-21,2021-10-26
"10-27","Vet Med Teaching Hospital","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-27
"10-27","Young Hall","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-27
"10-27","Sciences Lecture Hall","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-27
"10-27","California Hall","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-27
"10-28","Tupper Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-28
"10-28","Women's Resources and Research Center","Davis campus","10/27/2021
 - 10/28/2021",2021-10-27,2021-10-28,2021-10-28
"10-28","Wellman Hall","Davis campus","10/27/2021
 - 10/28/2021",2021-10-27,2021-10-28,2021-10-28
"10-28","Tercero Dining Commons","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-28
"10-28","Hart Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-28
"10-29","Wellman Hall","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-29
"10-29","Shields Library","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-10-29
"10-29","Art Building","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-29
"10-29","Hunt Hall","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-10-29
"10-29","Mondavi Center - Jackson Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-29
"10-29","Hunt Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-29
"10-29","Memorial Union","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-29
"10-29","Academic Assistance and Tutoring Center","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"10-29","Wellman Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"10-29","Shields Library","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-29
"10-29","Art Building","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"10-29","Conference Center","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-10-29
"10-29","Mondavi Center - Jackson Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-10-29
"10-29","Olson Hall","Davis campus","10/26/2021
 - 10/29/2021",2021-10-26,2021-10-29,2021-10-29
"10-29","202 Cousteau Place","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"10-29","Hickey Gym","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"10-29","Shields Library","Davis campus","10/22/2021",2021-10-22,2021-10-22,2021-10-29
"10-29","Olson Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-10-29
"10-29","Wellman Hall","Davis campus","10/25/2021
 - 10/26/2021",2021-10-25,2021-10-26,2021-10-29
"10-29","Mondavi Center - Jackson Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-10-29
"10-29","Hunt Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-10-29
"10-29","Meyer Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-10-29
"11-01","Wellman Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Memorial Union Games Area","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Student Farm - Greenhouse","Davis campus","11/01/2021",2021-11-01,2021-11-01,2021-11-01
"11-01","Hart Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Academic Surge Building","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Social Sciences & Humanities","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-11-01
"11-01","Mondavi Center - Jackson Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Hunt Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Olson Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-01
"11-01","Wellman Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Social Sciences & Humanities","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-01
"11-01","Green Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-01
"11-01","Roessler Hall","Davis campus","10/25/2021
 - 10/26/2021",2021-10-25,2021-10-26,2021-11-01
"11-01","Mondavi Center","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-11-01
"11-01","Social Sciences & Humanities","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-01
"11-01","Mondavi Center - Jackson Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Hunt Hall","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Meyer Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-01
"11-01","Wellman Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-01
"11-01","Bainer Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Hart Hall","Davis campus","10/25/2021",2021-10-25,2021-10-25,2021-11-01
"11-01","Roessler Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-01
"11-01","Mondavi Center","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-01
"11-01","Physics Building","Davis campus","10/27/2021",2021-10-27,2021-10-27,2021-11-01
"11-01","Mondavi Center - Jackson Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-01
"11-01","Olson Hall","Davis campus","10/26/2021",2021-10-26,2021-10-26,2021-11-01
"11-01","Earth and Physical Sciences","Davis campus","11/01/2021",2021-11-01,2021-11-01,2021-11-01
"11-02","Activities & Recreation Center (ARC)","Davis campus","10/31/2021",2021-10-31,2021-10-31,2021-11-02
"11-02","Robbins Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-02
"11-02","Center for Health & Environment","Davis campus","11/01/2021",2021-11-01,2021-11-01,2021-11-02
"11-02","Bainer Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-02
"11-02","Young Hall","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-02
"11-02","Kleiber Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-02
"11-03","California Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-03
"11-03","Hutchison Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-03
"11-03","Giedt Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-03
"11-03","South Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-03
"11-03","Medical Sciences 1C","Davis campus","11/03/2021",2021-11-03,2021-11-03,2021-11-03
"11-03","Olson Hall","Davis campus","10/29/2021",2021-10-29,2021-10-29,2021-11-03
"11-04","King Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-04
"11-04","Walker Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-04
"11-05","Academic Surge Building","Davis campus","11/04/2021",2021-11-04,2021-11-04,2021-11-05
"11-05","Young Hall","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-05
"11-05","Bainer Hall","Davis campus","11/03/2021",2021-11-03,2021-11-03,2021-11-05
"11-08","Mondavi Center","Davis campus","11/02/2021",2021-11-02,2021-11-02,2021-11-08
"11-08","Walker Hall","Davis campus","11/01/2021",2021-11-01,2021-11-01,2021-11-08
"11-08","Activities and Recreation Center","Davis campus","10/28/2021",2021-10-28,2021-10-28,2021-11-08
"11-08","Wellman Hall","Davis campus","11/02/2021
 - 11/04/2021",2021-11-02,2021-11-04,2021-11-08
"11-08","Mondavi Center","Davis campus","11/04/2021",2021-11-04,2021-11-04,2021-11-08
"11-08","Walker Hall","Davis campus","11/04/2021",2021-11-04,2021-11-04,2021-11-08
"11-08","Plant & Environmental Sciences","Davis campus","11/04/2021
 - 11/05/2021",2021-11-04,2021-11-05,2021-11-08
"11-08","Olson Hall","Davis campus","11/04/2021",2021-11-04,2021-11-04,2021-11-08
"11-08","Vet Med Teaching Hospital Small Animal Clinic","Davis campus","11/07/2021",2021-11-07,2021-11-07,2021-11-08
"11-09","Young Hall","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-09
"11-09","Hickey Gym","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-09
"11-10","Geotechnical Centrifuge","Davis campus","11/08/2021
 - 11/10/2021",2021-11-08,2021-11-10,2021-11-10
"11-10","Antenna Farm","Davis campus","11/08/2021
 - 11/10/2021",2021-11-08,2021-11-10,2021-11-10
"11-12","Telecom Building","Davis campus","11/08/2021
 - 11/10/2021",2021-11-08,2021-11-10,2021-11-12
"11-15","Tercero Dining Hall","Davis campus","11/08/2021
 - 11/13/2021",2021-11-08,2021-11-13,2021-11-15
"11-15","Cuarto Dining Commons","Davis campus","11/14/2021",2021-11-14,2021-11-14,2021-11-15
"11-15","Sciences Lab Building","Davis campus","11/10/2021",2021-11-10,2021-11-10,2021-11-15
"11-15","Olson Hall","Davis campus","11/10/2021",2021-11-10,2021-11-10,2021-11-15
"11-15","Cruess Hall","Davis campus","11/10/2021",2021-11-10,2021-11-10,2021-11-15
"11-15","Bainer Hall","Davis campus","11/10/2021",2021-11-10,2021-11-10,2021-11-15
"11-15","Roessler Hall","Davis campus","11/09/2021",2021-11-09,2021-11-09,2021-11-15
"11-15","Mathematical Sciences Building","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-15
"11-15","Sciences Lab Building","Davis campus","11/12/2021",2021-11-12,2021-11-12,2021-11-15
"11-15","Art Building","Davis campus","11/09/2021",2021-11-09,2021-11-09,2021-11-15
"11-15","Wellman Hall","Davis campus","11/11/2021",2021-11-11,2021-11-11,2021-11-15
"11-15","Olson Hall","Davis campus","11/12/2021",2021-11-12,2021-11-12,2021-11-15
"11-15","Cruess Hall","Davis campus","11/12/2021",2021-11-12,2021-11-12,2021-11-15
"11-15","Bainer Hall","Davis campus","11/12/2021",2021-11-12,2021-11-12,2021-11-15
"11-15","Roessler Hall","Davis campus","11/11/2021",2021-11-11,2021-11-11,2021-11-15
"11-15","Manetti Shrem Museum","Davis campus","11/13/2021",2021-11-13,2021-11-13,2021-11-15
"11-15","Harding Hall","Davis campus","11/09/2021",2021-11-09,2021-11-09,2021-11-15
"11-15","Olson Hall","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-15
"11-15","Cruess Hall","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-15
"11-15","Bainer Hall","Davis campus","11/08/2021",2021-11-08,2021-11-08,2021-11-15
"11-15","Chancellor's Residence","Davis campus","11/14/2021",2021-11-14,2021-11-14,2021-11-15
"11-16","South Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-16
"11-16","Social Sciences & Humanities Building","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-16
"11-16","Coffee Center","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-16
"11-16","Social Sciences & Humanities","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-16
"11-17","Unitrans Maintenance Facility","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-17
"11-17","Haring Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-17
"11-17","Shields Library","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-17
"11-17","Vet Med 3A","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-17
"11-17","Sciences Lecture Hall","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-17
"11-17","Wellman Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-17
"11-17","The Grove (Surge III)","Davis campus","11/10/2021",2021-11-10,2021-11-10,2021-11-17
"11-17","Sciences Lab Building","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-17
"11-18","Memorial Union","Davis campus","11/12/2021",2021-11-12,2021-11-12,2021-11-18
"11-18","Olson Hall","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-18
"11-18","Wellman Hall","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-18
"11-18","Social Sciences & Humanities","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-18
"11-18","Student Heath & Counseling Services","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-18
"11-18","Equestrian Center","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-18
"11-18","Wellman Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-18
"11-19","Meyer Hall","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-19
"11-19","Social Sciences & Humanities","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-19
"11-19","Sciences Lab Building","Davis campus","11/16/2021",2021-11-16,2021-11-16,2021-11-19
"11-19","Shields Library","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-19
"11-19","Sciences Lab Building","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-19
"11-22","Earth and Physical Sciences","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-22
"11-22","Wellman Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-22","California Hall","Davis campus","11/17/2021
 - 11/19/2021",2021-11-17,2021-11-19,2021-11-22
"11-22","Young Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-22","Kerr Hall","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-22
"11-22","Mathematical Sciences Building","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-22
"11-22","Sciences Lecture Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-22","Bainer Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-22","Young Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-22
"11-22","Sciences Lab Building","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-22
"11-22","Kerr Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-22","Art Annex","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-22
"11-22","Chemistry Annex","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-22
"11-22","Olson Hall","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-22
"11-22","California Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-22
"11-22","Young Hall","Davis campus","11/17/2021",2021-11-17,2021-11-17,2021-11-22
"11-22","Kerr Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-22
"11-22","Bainer Hall","Davis campus","11/15/2021",2021-11-15,2021-11-15,2021-11-22
"11-22","Cruess Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-22
"11-23","California National Primate Research Center","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-23
"11-23","California Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-23
"11-23","Latitude Dining Commons","Davis campus","11/22/2021",2021-11-22,2021-11-22,2021-11-23
"11-23","Kemper Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-23
"11-23","Storer Hall","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-23
"11-23","Olson Hall","Davis campus","11/19/2021",2021-11-19,2021-11-19,2021-11-23
"11-23","Cuarto Dining Commons","Davis campus","11/21/2021",2021-11-21,2021-11-21,2021-11-23
"11-23","Segundo Dining Commons","Davis campus","11/17/2021
 - 11/22/2021",2021-11-17,2021-11-22,2021-11-23
"11-23","Kemper Hall","Davis campus","11/18/2021",2021-11-18,2021-11-18,2021-11-23
"11-23","Temporary Building 9","Davis campus","11/22/2021",2021-11-22,2021-11-22,2021-11-23
"11-23","Geidt Hall","Davis campus","11/17/2021
 - 11/18/2021",2021-11-17,2021-11-18,2021-11-23
